visitor_id,visit_date,channel,campaign,acquisition_cost,stage_reached,deal_value_usd
107464,2026-03-29,Social Media,Instagram Ads,0,Visitor,0
109462,2026-04-16,Referral,Customer Referral Program,5,Lead,0
102173,2026-05-11,Organic Search,SEO - Blog,0,Visitor,0
106452,2026-02-16,Social Media,Instagram Ads,0,Visitor,0
110440,2026-04-02,Direct,Direct/None,0,Visitor,0
108260,2026-06-09,Email,Newsletter,0,Visitor,0
109371,2026-05-19,Referral,Customer Referral Program,0,Visitor,0
107267,2026-04-25,Social Media,Instagram Ads,0,Visitor,0
105331,2026-03-09,Social Media,Instagram Ads,0,Visitor,0
109646,2026-02-11,Referral,Customer Referral Program,0,Visitor,0
102823,2026-03-23,Organic Search,SEO - Blog,0,Visitor,0
107665,2026-04-12,Social Media,Facebook Ads,0,Visitor,0
105937,2026-01-26,Social Media,Instagram Ads,0,Visitor,0
111979,2026-04-09,Direct,Direct/None,0,Visitor,0
106095,2026-06-08,Social Media,Facebook Ads,0,Visitor,0
106702,2026-04-28,Social Media,Facebook Ads,0,Visitor,0
108140,2026-02-09,Email,Newsletter,8,Lead,0
104835,2026-03-31,Paid Search,Google Ads - Generic,0,Visitor,0
102428,2026-04-19,Organic Search,SEO - Product Pages,0,Visitor,0
101390,2026-04-03,Organic Search,SEO - Blog,0,Visitor,0
103325,2026-05-20,Paid Search,Google Ads - Generic,0,Visitor,0
103985,2026-04-12,Paid Search,Google Ads - Brand,0,Visitor,0
111165,2026-03-24,Direct,Direct/None,0,Visitor,0
108025,2026-03-21,Email,Newsletter,8,SQL,0
103617,2026-02-12,Paid Search,Google Ads - Generic,48,Lead,0
107269,2026-03-20,Social Media,Facebook Ads,35,Lead,0
110129,2026-02-27,Referral,Partner Referral,0,Visitor,0
106758,2026-01-07,Social Media,LinkedIn Ads,0,Visitor,0
107003,2026-03-31,Social Media,LinkedIn Ads,0,Visitor,0
104746,2026-05-02,Paid Search,Google Ads - Generic,0,Visitor,0
108860,2026-02-24,Email,Newsletter,8,Customer,727
111196,2026-06-25,Direct,Direct/None,0,Customer,1123
110940,2026-05-10,Direct,Direct/None,0,Visitor,0
104464,2026-05-16,Paid Search,Google Ads - Generic,48,MQL,0
103415,2026-02-17,Paid Search,Google Ads - Brand,0,Visitor,0
107965,2026-06-12,Email,Newsletter,0,Visitor,0
103573,2026-05-24,Paid Search,Google Ads - Generic,0,Visitor,0
107252,2026-03-28,Social Media,LinkedIn Ads,0,Visitor,0
102171,2026-02-25,Organic Search,SEO - Product Pages,0,Visitor,0
102722,2026-04-03,Organic Search,SEO - Blog,0,Visitor,0
101970,2026-02-28,Organic Search,SEO - Blog,0,Visitor,0
106626,2026-02-18,Social Media,Instagram Ads,0,Visitor,0
104668,2026-03-23,Paid Search,Google Ads - Generic,48,MQL,0
105720,2026-03-08,Social Media,Instagram Ads,0,Visitor,0
110194,2026-03-30,Referral,Partner Referral,0,Visitor,0
111422,2026-02-13,Direct,Direct/None,0,Visitor,0
101594,2026-04-27,Organic Search,SEO - Product Pages,0,Visitor,0
110145,2026-04-18,Referral,Customer Referral Program,5,Lead,0
107350,2026-04-16,Social Media,Instagram Ads,0,Visitor,0
106162,2026-03-15,Social Media,Facebook Ads,0,Visitor,0
101449,2026-05-24,Organic Search,SEO - Product Pages,12,MQL,0
109608,2026-02-23,Referral,Partner Referral,5,Lead,0
108891,2026-03-17,Email,Product Drip Campaign,0,Visitor,0
101590,2026-02-01,Organic Search,SEO - Product Pages,0,Visitor,0
108605,2026-04-03,Email,Product Drip Campaign,8,Lead,0
109016,2026-03-21,Email,Newsletter,0,Visitor,0
108033,2026-04-11,Email,Unknown / Untagged,0,Visitor,0
111953,2026-04-19,Direct,Direct/None,0,Visitor,0
106470,2026-04-30,Social Media,Instagram Ads,0,Visitor,0
106242,2026-03-25,Social Media,LinkedIn Ads,0,Visitor,0
103038,2026-01-19,Paid Search,Google Ads - Generic,48,Lead,0
102702,2026-05-14,Organic Search,SEO - Blog,0,Visitor,0
101141,2026-02-25,Organic Search,SEO - Product Pages,0,Visitor,0
106443,2026-04-02,Social Media,Instagram Ads,35,MQL,0
107249,2026-04-11,Social Media,Instagram Ads,0,Visitor,0
104841,2026-04-07,Paid Search,Google Ads - Generic,0,Visitor,0
103434,2026-04-06,Paid Search,Google Ads - Brand,0,Visitor,0
103039,2026-02-21,Paid Search,Google Ads - Generic,0,Visitor,0
103453,2026-01-31,Paid Search,Google Ads - Brand,0,Visitor,0
107329,2026-05-06,Social Media,LinkedIn Ads,0,Visitor,0
110334,2026-04-30,Direct,Direct/None,0,Visitor,0
100998,2026-02-21,Organic Search,SEO - Blog,0,Visitor,0
101179,2026-04-13,Organic Search,SEO - Blog,0,Visitor,0
110366,2026-04-18,Direct,Direct/None,0,Visitor,0
105578,2026-04-10,Social Media,Instagram Ads,0,Visitor,0
111390,2026-02-24,Direct,Direct/None,0,Visitor,0
104040,2026-04-25,Paid Search,Google Ads - Brand,0,Visitor,0
106322,2026-03-22,Social Media,Instagram Ads,0,Visitor,0
109581,2026-03-30,Referral,Partner Referral,0,Visitor,0
105581,2026-05-21,Social Media,LinkedIn Ads,0,Visitor,0
110793,2026-05-28,Direct,Direct/None,0,Visitor,0
105619,2026-04-09,Social Media,Instagram Ads,0,Visitor,0
108540,2026-05-24,Email,Newsletter,8,SQL,0
102269,2026-02-09,Organic Search,SEO - Product Pages,0,Visitor,0
107809,2026-04-04,Social Media,Facebook Ads,0,Visitor,0
102278,2026-02-28,Organic Search,SEO - Blog,12,Lead,0
104641,2026-06-26,Paid Search,Google Ads - Generic,48,MQL,0
104080,2026-04-27,Paid Search,Google Ads - Brand,0,Visitor,0
108732,2026-05-23,Email,Product Drip Campaign,8,Lead,0
104457,2026-04-02,Paid Search,Google Ads - Brand,48,Lead,0
105107,2026-02-05,Paid Search,Google Ads - Generic,48,MQL,0
107936,2026-04-12,Email,Newsletter,0,Visitor,0
102786,2026-06-01,Organic Search,SEO - Blog,0,Visitor,0
105540,2026-04-24,Social Media,Unknown / Untagged,0,Visitor,0
102258,2026-04-25,Organic Search,SEO - Product Pages,0,Visitor,0
110930,2026-04-08,Direct,Direct/None,0,Lead,0
110754,2026-04-03,Direct,Direct/None,0,Visitor,0
106893,2026-04-09,Social Media,Instagram Ads,0,Visitor,0
109059,2026-04-25,Email,Newsletter,0,Visitor,0
109404,2026-03-16,Referral,Partner Referral,0,Visitor,0
104437,2026-01-18,Paid Search,Google Ads - Brand,0,Visitor,0
102929,2026-04-07,Paid Search,Google Ads - Brand,48,MQL,0
102342,2026-04-21,Organic Search,SEO - Blog,0,Visitor,0
109941,2026-03-17,Referral,Partner Referral,0,Visitor,0
102106,2026-05-04,Organic Search,SEO - Product Pages,0,Visitor,0
110121,2026-03-06,Referral,Customer Referral Program,5,SQL,0
105410,2026-01-26,Social Media,LinkedIn Ads,0,Visitor,0
105777,2026-05-08,Social Media,LinkedIn Ads,35,Lead,0
104857,2026-06-15,Paid Search,Google Ads - Brand,0,Visitor,0
104273,2026-02-15,Paid Search,Google Ads - Brand,0,Visitor,0
109514,2026-04-26,Referral,Customer Referral Program,0,Visitor,0
105213,2026-03-14,Paid Search,Google Ads - Brand,0,Visitor,0
103827,2026-03-03,Paid Search,Google Ads - Brand,0,Visitor,0
105768,2026-03-20,Social Media,LinkedIn Ads,0,Visitor,0
102632,2026-03-24,Organic Search,SEO - Blog,0,Visitor,0
105936,2026-05-29,Social Media,Instagram Ads,0,Visitor,0
108582,2026-02-21,Email,Newsletter,0,Visitor,0
106249,2026-04-01,Social Media,Instagram Ads,0,Visitor,0
107132,2026-04-15,Social Media,LinkedIn Ads,0,Visitor,0
109152,2026-05-20,Referral,Partner Referral,0,Visitor,0
104285,2026-02-07,Paid Search,Google Ads - Brand,0,Visitor,0
108754,2026-02-14,Email,Newsletter,0,Visitor,0
106585,2026-04-08,Social Media,Facebook Ads,0,Visitor,0
104025,2026-02-17,Paid Search,Google Ads - Brand,0,Visitor,0
108256,2026-04-10,Email,Newsletter,8,Lead,0
111920,2026-05-06,Direct,Direct/None,0,Lead,0
108982,2026-03-19,Email,Product Drip Campaign,0,Visitor,0
101997,2026-02-16,Organic Search,SEO - Blog,0,Visitor,0
106047,2026-04-30,Social Media,Instagram Ads,0,Visitor,0
103472,2026-02-07,Paid Search,Google Ads - Brand,0,Visitor,0
104935,2026-05-16,Paid Search,Google Ads - Generic,48,SQL,0
107042,2026-05-17,Social Media,LinkedIn Ads,0,Visitor,0
102642,2026-04-11,Organic Search,SEO - Product Pages,12,Lead,0
109469,2026-03-29,Referral,Customer Referral Program,0,Visitor,0
106810,2026-05-25,Social Media,LinkedIn Ads,0,Visitor,0
109420,2026-05-03,Referral,Partner Referral,0,Visitor,0
103178,2026-04-14,Paid Search,Google Ads - Generic,0,Visitor,0
101885,2026-05-26,Organic Search,SEO - Product Pages,0,Visitor,0
108542,2026-05-09,Email,Newsletter,8,MQL,0
111782,2026-03-01,Direct,Direct/None,0,Lead,0
104796,2026-03-04,Paid Search,Google Ads - Generic,0,Visitor,0
110096,2026-04-02,Referral,Customer Referral Program,0,Visitor,0
103680,2026-04-13,Paid Search,Google Ads - Generic,48,Lead,0
110402,2026-03-25,Direct,Direct/None,0,Visitor,0
109662,2026-06-09,Referral,Partner Referral,5,MQL,0
103169,2026-04-21,Paid Search,Google Ads - Brand,0,Visitor,0
111148,2026-06-02,Direct,Direct/None,0,Visitor,0
111825,2026-04-24,Direct,Direct/None,0,SQL,0
110551,2026-04-20,Direct,Direct/None,0,Lead,0
109006,2026-04-12,Email,Newsletter,8,MQL,0
108172,2026-03-08,Email,Product Drip Campaign,8,MQL,0
104284,2026-03-08,Paid Search,Google Ads - Generic,48,Lead,0
111029,2026-01-10,Direct,Direct/None,0,Visitor,0
102409,2026-04-13,Organic Search,SEO - Product Pages,0,Visitor,0
102706,2026-02-15,Organic Search,SEO - Product Pages,0,Visitor,0
100022,2026-04-16,Organic Search,SEO - Product Pages,12,Customer,1192
107934,2026-02-12,Email,Newsletter,0,Visitor,0
102864,2026-04-04,Organic Search,SEO - Product Pages,0,Visitor,0
110012,2026-05-27,Referral,Partner Referral,0,Visitor,0
110500,2026-04-18,Direct,Direct/None,0,Visitor,0
105434,2026-01-21,Social Media,Instagram Ads,0,Visitor,0
105437,2026-06-14,Social Media,Facebook Ads,0,Visitor,0
101874,2026-04-23,Organic Search,SEO - Product Pages,0,Visitor,0
100192,2026-02-05,Organic Search,SEO - Blog,0,Visitor,0
104950,2026-05-03,Paid Search,Google Ads - Brand,0,Visitor,0
108966,2026-05-03,Email,Newsletter,0,Visitor,0
109475,2026-02-09,Referral,Customer Referral Program,5,Lead,0
100411,2026-02-08,Organic Search,SEO - Blog,12,Lead,0
106487,2026-02-03,Social Media,LinkedIn Ads,0,Visitor,0
108648,2026-03-06,Email,Product Drip Campaign,8,MQL,0
107520,2026-05-11,Social Media,Facebook Ads,0,Visitor,0
111784,2026-05-16,Direct,Direct/None,0,Visitor,0
110291,2026-02-28,Direct,Direct/None,0,Visitor,0
101290,2026-02-18,Organic Search,SEO - Blog,0,Visitor,0
101731,2026-02-08,Organic Search,SEO - Blog,0,Visitor,0
101277,2026-03-18,Organic Search,SEO - Product Pages,0,Visitor,0
102025,2026-03-02,Organic Search,SEO - Product Pages,0,Visitor,0
100673,2026-06-15,Organic Search,SEO - Product Pages,0,Visitor,0
108525,2026-02-07,Email,Product Drip Campaign,0,Visitor,0
107045,2026-02-25,Social Media,Facebook Ads,0,Visitor,0
102515,2026-05-10,Organic Search,SEO - Blog,0,Visitor,0
105923,2026-04-13,Social Media,Instagram Ads,0,Visitor,0
111074,2026-04-05,Direct,Direct/None,0,Lead,0
101243,2026-04-23,Organic Search,SEO - Blog,0,Visitor,0
105526,2026-04-24,Social Media,Instagram Ads,0,Visitor,0
108156,2026-01-10,Email,Newsletter,0,Visitor,0
111955,2026-02-27,Direct,Direct/None,0,Lead,0
100940,2026-05-26,Organic Search,SEO - Blog,0,Visitor,0
106173,2026-04-21,Social Media,LinkedIn Ads,0,Visitor,0
107406,2026-02-14,Social Media,Instagram Ads,0,Visitor,0
101897,2026-05-07,Organic Search,SEO - Blog,0,Visitor,0
102757,2026-04-12,Organic Search,SEO - Blog,0,Visitor,0
110311,2026-05-11,Direct,Direct/None,0,Visitor,0
101236,2026-03-31,Organic Search,SEO - Blog,0,Visitor,0
108200,2026-03-21,Email,Newsletter,8,SQL,0
100718,2026-04-21,Organic Search,SEO - Product Pages,0,Visitor,0
111794,2026-06-01,Direct,Direct/None,0,Visitor,0
107046,2026-04-16,Social Media,Instagram Ads,0,Visitor,0
108403,2026-01-26,Email,Newsletter,0,Visitor,0
111934,2026-04-26,Direct,Direct/None,0,SQL,0
100676,2026-02-24,Organic Search,SEO - Product Pages,0,Visitor,0
106595,2026-03-20,Social Media,LinkedIn Ads,0,Visitor,0
109167,2026-02-08,Referral,Partner Referral,0,Visitor,0
109102,2026-06-14,Email,Product Drip Campaign,0,Visitor,0
101396,2026-04-11,Organic Search,SEO - Product Pages,0,Visitor,0
110103,2026-04-25,Referral,Customer Referral Program,0,Visitor,0
100414,2026-05-19,Organic Search,SEO - Blog,0,Visitor,0
104596,2026-03-30,Paid Search,Google Ads - Brand,0,Visitor,0
107683,2026-04-30,Social Media,LinkedIn Ads,0,Visitor,0
106527,2026-04-13,Social Media,LinkedIn Ads,0,Visitor,0
111447,2026-03-27,Direct,Direct/None,0,Visitor,0
104033,2026-02-20,Paid Search,Google Ads - Brand,0,Visitor,0
105894,2026-03-31,Social Media,LinkedIn Ads,0,Visitor,0
110768,2026-05-07,Direct,Direct/None,0,Visitor,0
101761,2026-03-23,Organic Search,SEO - Blog,0,Visitor,0
106704,2026-04-25,Social Media,LinkedIn Ads,35,MQL,0
101441,2026-03-29,Organic Search,SEO - Product Pages,0,Visitor,0
100092,2026-04-08,Organic Search,SEO - Product Pages,0,Visitor,0
101764,2026-02-11,Organic Search,SEO - Blog,12,Customer,452
103507,2026-04-12,Paid Search,Google Ads - Generic,0,Visitor,0
105905,2026-02-13,Social Media,Unknown / Untagged,0,Visitor,0
103649,2026-06-12,Paid Search,Google Ads - Generic,0,Visitor,0
104949,2026-05-08,Paid Search,Google Ads - Brand,48,Lead,0
102193,2026-03-04,Organic Search,SEO - Product Pages,0,Visitor,0
105845,2026-04-25,Social Media,Instagram Ads,0,Visitor,0
109994,2026-02-02,Referral,Partner Referral,5,Lead,0
102560,2026-03-03,Organic Search,SEO - Blog,0,Visitor,0
109880,2026-03-16,Referral,Partner Referral,0,Visitor,0
106995,2026-04-25,Social Media,LinkedIn Ads,0,Visitor,0
100390,2026-05-09,Organic Search,SEO - Blog,12,MQL,0
104071,2026-04-01,Paid Search,Google Ads - Generic,0,Visitor,0
107027,2026-02-17,Social Media,LinkedIn Ads,0,Visitor,0
110736,2026-04-23,Direct,Direct/None,0,Visitor,0
105435,2026-03-31,Social Media,Facebook Ads,0,Visitor,0
109245,2026-01-24,Referral,Partner Referral,0,Visitor,0
106194,2026-04-01,Social Media,LinkedIn Ads,0,Visitor,0
109062,2026-03-19,Email,Newsletter,8,Lead,0
100095,2026-06-18,Organic Search,SEO - Product Pages,0,Visitor,0
109207,2026-02-09,Referral,Customer Referral Program,0,Visitor,0
102044,2026-01-31,Organic Search,SEO - Blog,0,Visitor,0
104155,2026-04-30,Paid Search,Google Ads - Brand,0,Visitor,0
108450,2026-05-28,Email,Newsletter,0,Visitor,0
100066,2026-04-28,Organic Search,SEO - Blog,0,Visitor,0
103319,2026-06-02,Paid Search,Google Ads - Generic,0,Visitor,0
100248,2026-05-01,Organic Search,SEO - Product Pages,0,Visitor,0
101987,2026-02-09,Organic Search,SEO - Product Pages,0,Visitor,0
109082,2026-04-19,Email,Newsletter,8,Customer,1308
104095,2026-01-25,Paid Search,Google Ads - Brand,0,Visitor,0
109834,2026-05-07,Referral,Customer Referral Program,5,Lead,0
100276,2026-04-16,Organic Search,SEO - Blog,12,SQL,0
111162,2026-03-25,Direct,Direct/None,0,Visitor,0
100602,2026-06-02,Organic Search,SEO - Product Pages,0,Visitor,0
104402,2026-02-18,Paid Search,Google Ads - Brand,48,MQL,0
111135,2026-05-05,Direct,Direct/None,0,Lead,0
102347,2026-01-14,Organic Search,SEO - Blog,0,Visitor,0
105570,2026-02-10,Social Media,Facebook Ads,0,Visitor,0
106568,2026-03-09,Social Media,Instagram Ads,0,Visitor,0
107694,2026-04-13,Social Media,Instagram Ads,0,Visitor,0
107586,2026-03-13,Social Media,LinkedIn Ads,0,Visitor,0
110983,2026-05-13,Direct,Direct/None,0,Visitor,0
101832,2026-06-14,Organic Search,SEO - Blog,12,SQL,0
102035,2026-06-08,Organic Search,SEO - Product Pages,0,Visitor,0
111805,2026-04-26,Direct,Direct/None,0,Visitor,0
100972,2026-04-03,Organic Search,SEO - Product Pages,0,Visitor,0
105523,2026-03-09,Social Media,Facebook Ads,0,Visitor,0
111245,2026-03-23,Direct,Direct/None,0,Visitor,0
102468,2026-01-10,Organic Search,SEO - Product Pages,0,Visitor,0
109817,2026-04-22,Referral,Partner Referral,0,Visitor,0
110411,2026-05-11,Direct,Direct/None,0,Visitor,0
104913,2026-04-12,Paid Search,Google Ads - Brand,0,Visitor,0
102739,2026-06-15,Organic Search,SEO - Product Pages,0,Visitor,0
109927,2026-04-25,Referral,Customer Referral Program,5,Lead,0
106490,2026-05-29,Social Media,Instagram Ads,0,Visitor,0
105423,2026-04-04,Social Media,LinkedIn Ads,35,Lead,0
101904,2026-06-01,Organic Search,SEO - Blog,12,Lead,0
101770,2026-02-09,Organic Search,SEO - Blog,0,Visitor,0
101024,2026-01-24,Organic Search,SEO - Blog,0,Visitor,0
106014,2026-04-07,Social Media,Instagram Ads,0,Visitor,0
102806,2026-06-05,Organic Search,SEO - Product Pages,0,Visitor,0
109651,2026-02-20,Referral,Partner Referral,5,Customer,1329
101623,2026-05-24,Organic Search,SEO - Product Pages,0,Visitor,0
104933,2026-03-27,Paid Search,Google Ads - Generic,0,Visitor,0
102255,2026-05-13,Organic Search,SEO - Blog,0,Visitor,0
110849,2026-05-15,Direct,Direct/None,0,Visitor,0
105046,2026-05-05,Paid Search,Google Ads - Generic,0,Visitor,0
108929,2026-04-04,Email,Product Drip Campaign,0,Visitor,0
105487,2026-05-26,Social Media,Instagram Ads,0,Visitor,0
102125,2026-04-11,Organic Search,SEO - Blog,12,Lead,0
109278,2026-05-16,Referral,Partner Referral,5,Lead,0
100663,2026-02-19,Organic Search,SEO - Blog,12,Lead,0
100864,2026-04-18,Organic Search,SEO - Blog,0,Visitor,0
106039,2026-03-17,Social Media,Unknown / Untagged,0,Visitor,0
100308,2026-03-29,Organic Search,SEO - Blog,0,Visitor,0
102601,2026-05-18,Organic Search,SEO - Product Pages,0,Visitor,0
106274,2026-02-10,Social Media,LinkedIn Ads,0,Visitor,0
100510,2026-04-19,Organic Search,SEO - Blog,0,Visitor,0
106288,2026-04-02,Social Media,Facebook Ads,0,Visitor,0
100907,2026-05-10,Organic Search,SEO - Product Pages,0,Visitor,0
108612,2026-02-08,Email,Product Drip Campaign,8,Lead,0
101945,2026-05-02,Organic Search,SEO - Product Pages,12,Lead,0
106853,2026-05-08,Social Media,Facebook Ads,0,Visitor,0
100068,2026-03-13,Organic Search,SEO - Blog,12,Lead,0
103160,2026-04-17,Paid Search,Google Ads - Brand,0,Visitor,0
104151,2026-02-22,Paid Search,Google Ads - Generic,0,Visitor,0
110650,2026-01-25,Direct,Direct/None,0,Visitor,0
108276,2026-04-24,Email,Product Drip Campaign,0,Visitor,0
103078,2026-05-04,Paid Search,Google Ads - Generic,48,Lead,0
100923,2026-06-13,Organic Search,SEO - Blog,0,Visitor,0
110840,2026-06-12,Direct,Direct/None,0,Visitor,0
111178,2026-04-23,Direct,Direct/None,0,SQL,0
108771,2026-05-16,Email,Product Drip Campaign,0,Visitor,0
107794,2026-04-05,Social Media,Instagram Ads,0,Visitor,0
111698,2026-03-04,Direct,Direct/None,0,Visitor,0
100707,2026-04-01,Organic Search,SEO - Product Pages,0,Visitor,0
101193,2026-05-01,Organic Search,SEO - Product Pages,0,Visitor,0
110483,2026-03-06,Direct,Direct/None,0,Visitor,0
111320,2026-05-17,Direct,Direct/None,0,Visitor,0
101782,2026-05-09,Organic Search,SEO - Product Pages,0,Visitor,0
106976,2026-03-31,Social Media,LinkedIn Ads,0,Visitor,0
103074,2026-02-23,Paid Search,Google Ads - Generic,0,Visitor,0
111828,2026-03-22,Direct,Direct/None,0,Lead,0
103978,2026-02-25,Paid Search,Google Ads - Brand,0,Visitor,0
107690,2026-04-26,Social Media,LinkedIn Ads,0,Visitor,0
102505,2026-05-31,Organic Search,SEO - Product Pages,0,Visitor,0
108830,2026-05-27,Email,Newsletter,0,Visitor,0
103682,2026-03-26,Paid Search,Google Ads - Generic,0,Visitor,0
100753,2026-04-13,Organic Search,SEO - Product Pages,0,Visitor,0
104975,2026-05-12,Paid Search,Google Ads - Generic,48,MQL,0
102908,2026-03-03,Paid Search,Google Ads - Generic,0,Visitor,0
104237,2026-05-13,Paid Search,Google Ads - Generic,48,Lead,0
111013,2026-06-08,Direct,Direct/None,0,Visitor,0
106509,2026-05-11,Social Media,Instagram Ads,0,Visitor,0
101151,2026-05-20,Organic Search,SEO - Blog,0,Visitor,0
108622,2026-01-22,Email,Product Drip Campaign,0,Visitor,0
107330,2026-05-11,Social Media,LinkedIn Ads,0,Visitor,0
102261,2026-03-28,Organic Search,SEO - Product Pages,0,Visitor,0
102314,2026-02-22,Organic Search,SEO - Product Pages,0,Visitor,0
102787,2026-04-21,Organic Search,SEO - Product Pages,0,Visitor,0
101593,2026-05-07,Organic Search,SEO - Blog,0,Visitor,0
102456,2026-04-10,Organic Search,SEO - Product Pages,12,MQL,0
109928,2026-02-20,Referral,Customer Referral Program,5,Customer,1611
104027,2026-05-12,Paid Search,Google Ads - Generic,48,MQL,0
103878,2026-03-31,Paid Search,Google Ads - Generic,0,Visitor,0
111155,2026-02-09,Direct,Direct/None,0,Visitor,0
103326,2026-02-11,Paid Search,Google Ads - Brand,0,Visitor,0
101560,2026-05-26,Organic Search,SEO - Product Pages,12,Lead,0
103377,2026-01-30,Paid Search,Google Ads - Brand,0,Visitor,0
106153,2026-05-25,Social Media,Facebook Ads,0,Visitor,0
105841,2026-02-26,Social Media,Facebook Ads,0,Visitor,0
101819,2026-04-11,Organic Search,SEO - Product Pages,0,Visitor,0
102238,2026-02-25,Organic Search,SEO - Product Pages,0,Visitor,0
104896,2026-02-19,Paid Search,Google Ads - Brand,0,Visitor,0
104351,2026-04-17,Paid Search,Google Ads - Generic,0,Visitor,0
103899,2026-02-08,Paid Search,Google Ads - Generic,48,MQL,0
106233,2026-04-22,Social Media,Instagram Ads,0,Visitor,0
105220,2026-04-28,Paid Search,Google Ads - Brand,0,Visitor,0
101858,2026-03-12,Organic Search,SEO - Blog,0,Visitor,0
102678,2026-03-19,Organic Search,Unknown / Untagged,0,Visitor,0
104105,2026-03-31,Paid Search,Google Ads - Generic,48,MQL,0
105305,2026-04-25,Social Media,LinkedIn Ads,0,Visitor,0
104560,2026-05-04,Paid Search,Google Ads - Brand,0,Visitor,0
106148,2026-03-28,Social Media,Facebook Ads,0,Visitor,0
106343,2026-03-15,Social Media,LinkedIn Ads,35,MQL,0
108974,2026-04-09,Email,Product Drip Campaign,0,Visitor,0
103369,2026-04-17,Paid Search,Google Ads - Brand,0,Visitor,0
101443,2026-05-05,Organic Search,SEO - Product Pages,0,Visitor,0
103627,2026-03-29,Paid Search,Google Ads - Generic,48,Lead,0
105452,2026-04-04,Social Media,LinkedIn Ads,0,Visitor,0
101902,2026-02-09,Organic Search,SEO - Blog,0,Visitor,0
108707,2026-04-18,Email,Product Drip Campaign,0,Visitor,0
101685,2026-04-26,Organic Search,SEO - Product Pages,0,Visitor,0
106091,2026-04-22,Social Media,Facebook Ads,0,Visitor,0
102657,2026-03-18,Organic Search,SEO - Blog,0,Visitor,0
103997,2026-03-21,Paid Search,Google Ads - Generic,0,Visitor,0
100922,2026-05-15,Organic Search,SEO - Blog,0,Visitor,0
109939,2026-04-26,Referral,Partner Referral,0,Visitor,0
102122,2026-03-01,Organic Search,SEO - Blog,0,Visitor,0
107509,2026-04-28,Social Media,Instagram Ads,35,SQL,0
111564,2026-05-22,Direct,Direct/None,0,Lead,0
106809,2026-06-04,Social Media,Instagram Ads,0,Visitor,0
109683,2026-03-05,Referral,Partner Referral,0,Visitor,0
106546,2026-04-04,Social Media,LinkedIn Ads,35,Lead,0
105032,2026-04-05,Paid Search,Google Ads - Generic,48,SQL,0
111114,2026-05-07,Direct,Direct/None,0,Visitor,0
101530,2026-02-15,Organic Search,SEO - Product Pages,0,Visitor,0
102884,2026-06-02,Paid Search,Google Ads - Generic,0,Visitor,0
102610,2026-04-02,Organic Search,SEO - Blog,0,Visitor,0
